Pixel_1_1,Pixel_1_2,Pixel_1_3,Pixel_1_4,Pixel_1_5,Pixel_1_6,Pixel_1_7,Pixel_1_8,Pixel_2_1,Pixel_2_2,Pixel_2_3,Pixel_2_4,Pixel_2_5,Pixel_2_6,Pixel_2_7,Pixel_2_8,Pixel_3_1,Pixel_3_2,Pixel_3_3,Pixel_3_4,Pixel_3_5,Pixel_3_6,Pixel_3_7,Pixel_3_8,Pixel_4_1,Pixel_4_2,Pixel_4_3,Pixel_4_4,Pixel_4_5,Pixel_4_6,Pixel_4_7,Pixel_4_8,Pixel_5_1,Pixel_5_2,Pixel_5_3,Pixel_5_4,Pixel_5_5,Pixel_5_6,Pixel_5_7,Pixel_5_8,Pixel_6_1,Pixel_6_2,Pixel_6_3,Pixel_6_4,Pixel_6_5,Pixel_6_6,Pixel_6_7,Pixel_6_8,Pixel_7_1,Pixel_7_2,Pixel_7_3,Pixel_7_4,Pixel_7_5,Pixel_7_6,Pixel_7_7,Pixel_7_8,Pixel_8_1,Pixel_8_2,Pixel_8_3,Pixel_8_4,Pixel_8_5,Pixel_8_6,Pixel_8_7,Pixel_8_8,ASCII_Bit_1,ASCII_Bit_2,ASCII_Bit_3,ASCII_Bit_4,ASCII_Bit_5,ASCII_Bit_6,ASCII_Bit_7,Letter
0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,Q
1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,R
0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,S
1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,T
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,U
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,V
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,W
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,X
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,Y
1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,Z
